,Unnamed: 0,Model,Oversample,Scaler,Neighbors,precision,recall,f1-score,support
2,accuracy,K-Nearest Neighbors (kNN),True,StandardScaler(),8,0.8576760388156258,0.8576760388156258,0.8576760388156258,0.8576760388156258
3,macro avg,K-Nearest Neighbors (kNN),True,StandardScaler(),8,0.7720150953217515,0.8893276215310113,0.8038732103575906,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,StandardScaler(),8,0.9088295201864278,0.8576760388156258,0.8700468554302048,4019.0
0,Active,K-Nearest Neighbors (kNN),False,StandardScaler(),5,0.998589562764457,0.8571428571428571,0.9224755700325732,3304.0
1,Inactive,K-Nearest Neighbors (kNN),False,StandardScaler(),5,0.6010143702451395,0.9944055944055944,0.7492096944151738,715.0
2,accuracy,K-Nearest Neighbors (kNN),False,StandardScaler(),5,0.8815625777556606,0.8815625777556606,0.8815625777556606,0.8815625777556606
3,macro avg,K-Nearest Neighbors (kNN),False,StandardScaler(),5,0.7998019665047982,0.9257742257742256,0.8358426322238736,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),False,StandardScaler(),5,0.9278589674294702,0.8815625777556606,0.8916507128376391,4019.0
0,Active,K-Nearest Neighbors (kNN),False,PowerTransformer(),4,0.9929824561403509,0.9421912832929782,0.9669203292436714,3304.0
1,Inactive,K-Nearest Neighbors (kNN),False,PowerTransformer(),4,0.7839366515837104,0.9692307692307692,0.8667917448405253,715.0
2,accuracy,K-Nearest Neighbors (kNN),False,PowerTransformer(),4,0.9470017417267976,0.9470017417267976,0.9470017417267976,0.9470017417267976
3,macro avg,K-Nearest Neighbors (kNN),False,PowerTransformer(),4,0.8884595538620306,0.9557110262618738,0.9168560370420984,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),False,PowerTransformer(),4,0.9557921724235064,0.9470017417267976,0.9491069582936218,4019.0
0,Active,K-Nearest Neighbors (kNN),True,StandardScaler(),17,0.9751053236307928,0.7705811138014528,0.8608622147083685,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,StandardScaler(),17,0.4616477272727273,0.9090909090909092,0.6123410268487989,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,StandardScaler(),17,0.795222692211993,0.795222692211993,0.795222692211993,0.795222692211993
